id,smokeint,regsmoke,age,parsmoke,female,race,income,pareduc,nonwhite,educ
12,5.8,0,21,1,1,1,12,4,0,3
20,8.2,0,25,0,0,3,3,3,1,2
72,4,0,21,0,1,1,12,4,0,3
79,12.4,1,22,1,0,4,5,1,1,1
117,7,0,18,1,1,1,11,3,0,2
126,11.2,1,23,0,0,4,11,4,1,3
138,7.6,0,21,0,0,1,10,2,0,1
145,6.4,0,18,1,1,3,3,3,1,2
146,10,1,18,1,0,1,3,1,0,1
171,5.2,0,19,0,1,1,12,4,0,3
173,4.6,0,23,0,1,2,7,4,1,3
174,11.8,1,25,1,0,4,5,3,1,2
175,7,0,21,0,0,3,8,4,1,3
178,7,0,19,0,1,1,12,3,0,2
180,9.4,0,25,0,1,1,13,3,0,2
181,6.4,0,18,1,1,1,15,4,0,3
209,9.4,0,23,1,1,2,7,2,1,1
231,11.8,1,18,1,1,1,11,3,0,2
246,9.4,0,25,1,1,1,13,4,0,3
251,7,0,20,0,0,1,10,4,0,3
256,7,0,18,0,0,1,10,2,0,1
275,12.4,1,24,1,1,4,7,2,1,1
287,10,1,23,0,0,3,2,1,1,1
333,10,1,25,0,1,3,1,3,1,2
336,9.4,0,24,0,0,1,8,1,0,1
337,7.6,0,19,1,1,3,11,2,1,1
341,8.2,0,23,0,1,1,5,2,0,1
370,9.4,0,21,0,1,1,7,3,0,2
388,9.4,0,20,0,0,1,13,4,0,3
391,5.8,0,18,0,1,2,4,4,1,3
414,9.4,0,24,0,1,1,4,1,0,1
425,7,0,24,0,1,1,9,4,0,3
431,7,0,21,0,1,1,5,4,0,3
470,5.8,0,18,0,1,3,5,3,1,2
499,13,1,25,1,0,1,11,3,0,2
601,6.4,0,21,0,1,1,10,3,0,2
631,15.4,1,25,1,0,1,7,4,0,3
657,8.8,0,24,0,0,1,7,2,0,1
671,5.2,0,19,0,1,3,7,2,1,1
693,13,1,20,0,1,3,6,2,1,1
710,4.6,0,23,0,1,2,15,4,1,3
782,8.8,0,21,0,0,4,6,3,1,2
816,10,1,18,0,1,3,5,3,1,2
859,7.6,0,20,1,1,1,10,3,0,2
878,8.2,0,18,1,1,1,5,2,0,1
889,7,0,22,0,1,4,15,4,1,3
895,7.6,0,21,0,0,3,10,2,1,1
915,6.4,0,20,0,0,1,7,3,0,2
943,8.2,0,21,0,1,2,4,3,1,2
964,5.8,0,22,0,1,1,13,4,0,3
965,8.8,0,22,1,1,1,11,3,0,2
976,8.2,0,20,0,1,1,15,4,0,3
988,9.4,0,25,1,1,1,5,4,0,3
990,10.6,1,20,0,1,1,10,4,0,3
1058,10.6,1,21,0,1,2,13,3,1,2
1063,8.2,0,25,0,0,3,15,4,1,3
1081,10.6,1,23,1,1,3,15,4,1,3
1088,5.2,0,18,0,0,2,13,3,1,2
1092,10.6,1,21,1,1,1,5,3,0,2
1161,10,1,20,1,1,3,5,2,1,1
1167,11.8,1,23,1,1,1,9,3,0,2
1197,7.6,0,21,1,1,1,12,2,0,1
1200,8.2,0,19,0,1,4,1,1,1,1
1205,9.4,0,23,0,1,1,4,3,0,2
1256,11.8,1,20,1,1,1,15,4,0,3
1288,8.2,0,22,0,1,3,3,2,1,1
1301,11.2,1,25,0,1,4,5,3,1,2
1323,5.8,0,23,0,1,3,10,4,1,3
1347,7,0,19,1,1,2,10,2,1,1
1353,11.2,1,25,1,0,1,6,4,0,3
1386,5.2,0,23,0,1,1,16,4,0,3
1399,10.6,1,23,0,0,4,7,3,1,2
1425,5.8,0,19,0,0,1,10,4,0,3
1433,7,0,22,0,1,3,10,2,1,1
1441,5.8,0,23,0,0,1,11,4,0,3
1449,5.8,0,20,0,1,1,11,4,0,3
1491,13,1,25,1,1,1,13,1,0,1
1544,7,0,19,0,1,1,6,3,0,2
1559,14.8,1,25,1,1,1,5,4,0,3
1605,7,0,21,0,1,3,9,3,1,2
1655,8.8,0,20,1,0,1,6,2,0,1
1678,8.2,0,22,0,1,1,7,2,0,1
1696,7.6,0,19,1,0,1,7,4,0,3
1739,7,0,22,0,1,1,10,4,0,3
1761,10,1,24,1,1,1,10,3,0,2
1785,10,1,21,1,0,1,8,3,0,2
1796,6.4,0,19,0,0,1,7,3,0,2
1801,17.2,1,21,0,1,4,10,4,1,3
1815,10.6,1,21,1,0,3,10,3,1,2
1819,8.2,0,20,1,1,2,4,1,1,1
1821,7,0,19,0,0,3,1,1,1,1
1823,13,1,24,0,1,3,12,3,1,2
1868,6.4,0,21,0,0,3,1,3,1,2
1889,7.6,0,22,0,1,1,14,3,0,2
1920,8.2,0,19,1,1,1,11,4,0,3
1962,14.8,1,25,1,0,1,7,4,0,3
1965,5.8,0,23,0,1,1,12,4,0,3
1967,10.6,1,20,1,1,3,5,2,1,1
1984,8.8,0,22,0,0,1,13,3,0,2
1993,8.8,0,25,1,1,1,2,2,0,1
